Iteration;Conf. Selected;eps b1;eps b2;eps b3;eps b4
1;10, 27, 20, 8, 25, 15, 1, 11, 21, 6, 28, 18, 2, 14, 24, 4, 19;-5;-5;-5;-5
2;10, 27, 20, 8, 25, 15, 1, 11, 21, 6;5;-5;-5;-5
3;1, 21, 6, 28, 18, 2, 14, 24, 4, 19;-5;5;-5;-5
4;1, 21, 6;5;5;-5;-5
5;1, 11, 21, 6, 28, 18, 2, 14, 24, 4, 19;-5;-5;5;-5
6;1, 11, 21, 6;5;-5;5;-5
7;1, 21, 6, 28, 18, 2, 14, 24, 4, 19;-5;5;5;-5
8;1, 21, 6;5;5;5;-5
9;10, 27, 20, 8, 25, 15, 1, 11, 21, 6, 28, 18;-5;-5;-5;5
10;10, 27, 20, 8, 25, 15, 1, 11, 21, 6;5;-5;-5;5
11;1, 21, 6, 28, 18;-5;5;-5;5
12;1, 21, 6;5;5;-5;5
13;1, 11, 21, 6, 28, 18;-5;-5;5;5
14;1, 11, 21, 6;5;-5;5;5
15;1, 21, 6, 28, 18;-5;5;5;5
16;1, 21, 6;5;5;5;5
